name,symbol,isin,industry,sector,listingDate,series,status,sector_pe,symbol_pe,trading_status,issuedCap,faceValue
"Bajaj Finance Limited",BAJFINANCE,INE296A01024,NBFC,"NIFTY FINANCIAL SERVICES                          ",01-Apr-2003,EQ,Listed,24.33,73.23,Active,602549839,2
"ABB India Limited",ABB,INE117A01022,"POWER EQUIPMENT","NIFTY INFRASTRUCTURE                              ",08-Feb-1995,EQ,Listed,32.87,134.86,Active,211908375,2
"Amara Raja Batteries Limited",AMARAJABAT,INE885A01032,"BATTERIES - AUTOMOBILE","NIFTY 500                                         ",05-Sep-2003,EQ,Listed,34.87,23.01,Active,170812500,1
"Housing Development Finance Corporation Limited",HDFC,INE001A01036,"HOUSING FINANCE","NIFTY FINANCIAL SERVICES                          ",23-Oct-1996,EQ,Listed,24.33,40.52,Active,1803941533,2
"Ansal Properties & Infrastructure Limited",ANSALAPI,INE436A01026,"RESIDENTIAL/COMMERCIAL/SEZ Project","NIFTY REALTY                                      ",27-Jan-2006,EQ,Listed,0,0,Active,157403576,5
"Bombay Dyeing & Mfg Company Limited",BOMDYEING,INE032A01023,"MAN MADE FIBRES/BLENDED","NIFTY 500                                         ",26-Apr-1995,EQ,Listed,34.87,0,Active,206534900,2
"Asian Hotels (North) Limited",ASIANHOTNR,INE363A01022,"HOTELS RESTAURANTS RESORTS","NIFTY SERVICES SECTOR                             ",07-Apr-2010,EQ,Listed,29.1,0,Active,19453229,10
"Atul Limited",ATUL,INE100A01010,"CHEMICALS - SPECIALITY","NIFTY 500                                         ",06-May-1998,EQ,Listed,34.87,32.47,Active,29587051,10
"Bajaj Electricals Limited",BAJAJELEC,INE193E01025,"HOME APPLIANCES HOUSEWARES","NIFTY INDIA CONSUMPTION                           ",02-Nov-2007,EQ,Listed,153.05,100.52,Active,114536619,2
"Bajaj Hindusthan Sugar Limited",BAJAJHIND,INE306A01021,SUGAR,"NIFTY FMCG                                        ",10-May-1995,EQ,Listed,42.15,0,Active,1133559942,1
"FORCE MOTORS LTD",FORCEMOT,INE451A01017,"PASSENGER/UTILITY VEHICLES",NA,03-Nov-1994,EQ,"Permitted to trade",NA,NA,Active,13176262,10
"Balrampur Chini Mills Limited",BALRAMCHIN,INE119A01028,SUGAR,"NIFTY FMCG                                        ",08-Feb-1995,EQ,Listed,42.15,11.13,Active,210000000,1
"Banco Products (I) Limited",BANCOINDIA,INE213C01025,"AUTO ANCILLARIES","NIFTY AUTO                                        ",22-Dec-2006,EQ,Listed,696.46,16.06,Active,71518650,2
"Century Textiles & Industries Limited",CENTURYTEX,INE055A01016,"PAPER AND PAPER PRODUCTS","NIFTY 500                                         ",27-Jun-2003,EQ,Listed,34.87,38.58,Active,111695680,10
"Bannari Amman Sugars Limited",BANARISUG,INE459A01010,SUGAR,"NIFTY FMCG                                        ",28-May-2003,EQ,Listed,42.15,19.58,Active,12539700,10
"BASF India Limited",BASF,INE373A01013,"CHEMICALS - SPECIALITY","NIFTY 500                                         ",17-May-1995,EQ,Listed,34.87,16.52,Active,43285640,10
"Bata India Limited",BATAINDIA,INE176A01028,"LEATHER AND LEATHER PRODUCTS","NIFTY 500                                         ",18-Jun-2003,EQ,Listed,34.87,0,Active,128527540,5
"BEML Limited",BEML,INE258A01016,"INDUSTRIAL EQUIPMENT","NIFTY 500                                         ",05-Nov-2003,EQ,Listed,34.87,47.53,Active,41644500,10
"Bharat Electronics Limited",BEL,INE263A01024,DEFENSE,"NIFTY 500                                         ",19-Jul-2000,EQ,Listed,34.87,17.21,Active,2436592943,1
"Bhansali Engineering Polymers Limited",BEPL,INE922A01025,"CHEMICALS - SPECIALITY","NIFTY 500                                         ",21-Mar-2005,EQ,Listed,34.87,7.94,Active,165905640,1
"Tata Steel Bsl Limited",TATASTLBSL,INE824B01021,STEEL,"NIFTY METAL",21-Nov-2003,EQ,Listed,30.21,11.03,Active,1093439768,2
"Birla Cable Limited",BIRLACABLE,INE800A01015,"TELECOM - CABLES","NIFTY 500                                         ",06-Dec-1995,EQ,Listed,34.87,84.17,Active,30000000,10
"Blue Star Limited",BLUESTARCO,INE472A01039,"AIR CONDITIONER","NIFTY INDIA CONSUMPTION                           ",15-Jun-2000,EQ,Listed,153.05,235.02,Active,96313888,2
"BPL Limited",BPL,INE110A01019,"CONSUMER ELECTRONICS","NIFTY INDIA CONSUMPTION                           ",14-Jun-1995,EQ,Listed,153.05,0,Active,48884818,10
"Oriental Aromatics Limited",OAL,INE959C01023,"CHEMICALS - SPECIALITY",NA,11-Jul-2019,EQ,Listed,NA,NA,Active,33653576,5
"Century Extrusions Limited",CENTEXT,INE281A01026,ALUMINIUM,"NIFTY METAL                                       ",20-Jul-2004,EQ,Listed,30.21,22.71,Active,80000000,1
